TransactionID,OrderDate,StoreID,ProductID,CustomerID,SalesRepID,Quantity,UnitPrice,TotalAmount,DiscountAmount,NetSales
T00001,2023-10-30,S12,P009,C4060,SR34,1,25000,25000,2500.0,22500.0
T00002,2023-05-12,S01,P013,C0497,SR01,2,280000,560000,0.0,560000.0
T00003,2023-06-07,S14,P006,C4623,SR42,3,120000,360000,0.0,360000.0
T00004,2023-06-02,S03,P006,C2838,SR08,3,120000,360000,0.0,360000.0
T00005,2023-03-03,S01,P013,C4290,SR01,4,280000,1120000,56000.0,1064000.0
T00006,2023-02-28,S02,P014,C1583,SR05,4,120000,480000,0.0,480000.0
T00007,2023-01-10,S02,P015,C0094,SR06,5,550000,2750000,137500.0,2612500.0
T00008,2023-10-18,S03,P041,C4695,SR07,2,22000,44000,0.0,44000.0
T00009,2023-05-08,S13,P003,C2280,SR38,5,180000,900000,0.0,900000.0
T00010,2023-01-02,S13,P024,C2335,SR38,4,65000,260000,52000.0,208000.0
T00011,2023-04-19,S05,P001,C1598,SR15,5,250000,1250000,62500.0,1187500.0
T00012,2023-07-23,S08,P034,C3931,SR23,5,180000,900000,135000.0,765000.0
T00013,2023-12-16,S06,P031,C3235,SR18,3,45000,135000,0.0,135000.0
T00014,2023-11-03,S03,P008,C3028,SR09,15,150000,2250000,112500.0,2137500.0
T00015,2023-12-11,S02,P037,C1396,SR06,4,55000,220000,11000.0,209000.0
T00016,2023-11-29,S07,P001,C3867,SR21,4,250000,1000000,50000.0,950000.0
T00017,2023-07-12,S11,P003,C0542,SR32,1,180000,180000,0.0,180000.0
T00018,2023-04-10,S02,P026,C2370,SR04,3,15000,45000,0.0,45000.0
T00019,2023-11-17,S03,P001,C1910,SR09,11,250000,2750000,0.0,2750000.0
T00020,2023-12-27,S08,P009,C0422,SR22,12,25000,300000,0.0,300000.0
T00021,2023-09-14,S04,P008,C0349,SR12,5,150000,750000,37500.0,712500.0
T00022,2023-03-07,S09,P005,C4399,SR25,2,200000,400000,40000.0,360000.0
T00023,2023-05-22,S07,P026,C0070,SR21,5,15000,75000,7500.0,67500.0
T00024,2023-08-07,S06,P009,C1663,SR18,12,25000,300000,30000.0,270000.0
T00025,2023-03-06,S03,P047,C1936,SR07,3,95000,285000,42750.0,242250.0
T00026,2023-06-12,S02,P041,C1794,SR04,2,22000,44000,6600.0,37400.0
T00027,2023-02-08,S13,P006,C0753,SR37,1,120000,120000,0.0,120000.0
T00028,2023-01-13,S05,P044,C0241,SR15,2,180000,360000,0.0,360000.0
T00029,2023-06-24,S11,P018,C4615,SR33,15,80000,1200000,60000.0,1140000.0
T00030,2023-11-17,S04,P004,C1072,SR10,1,85000,85000,0.0,85000.0
T00031,2023-12-22,S01,P005,C2824,SR01,1,200000,200000,0.0,200000.0
T00032,2023-02-03,S01,P015,C1724,SR01,4,550000,2200000,110000.0,2090000.0
T00033,2023-07-31,S05,P022,C0904,SR15,4,150000,600000,60000.0,540000.0
T00034,2023-11-14,S01,P055,C4042,SR03,4,85000,340000,17000.0,323000.0
T00035,2023-02-27,S01,P051,C4374,SR01,5,75000,375000,0.0,375000.0
T00036,2023-11-14,S04,P005,C4498,SR10,2,200000,400000,0.0,400000.0
T00037,2023-11-30,S09,P020,C4854,SR26,2,220000,440000,0.0,440000.0
T00038,2023-06-26,S15,P020,C4702,SR45,1,220000,220000,0.0,220000.0
T00039,2023-10-14,S04,P034,C0872,SR10,2,180000,360000,36000.0,324000.0
T00040,2023-12-08,S04,P055,C2810,SR12,3,85000,255000,25500.0,229500.0
T00041,2023-06-21,S06,P009,C4081,SR17,1,25000,25000,1250.0,23750.0
T00042,2023-11-24,S02,P027,C2734,SR04,4,25000,100000,10000.0,90000.0
T00043,2023-06-19,S11,P002,C0166,SR32,1,400000,400000,0.0,400000.0
T00044,2023-01-16,S05,P003,C4245,SR13,5,180000,900000,135000.0,765000.0
T00045,2023-01-16,S02,P003,C1561,SR05,2,180000,360000,0.0,360000.0
T00046,2023-04-03,S02,P049,C3326,SR05,2,55000,110000,0.0,110000.0
T00047,2023-02-27,S02,P004,C3052,SR05,2,85000,170000,25500.0,144500.0
T00048,2023-11-16,S12,P004,C0185,SR36,2,85000,170000,17000.0,153000.0
T00049,2023-07-13,S08,P030,C4541,SR23,9,22000,198000,29700.0,168300.0
T00050,2023-10-30,S10,P002,C3950,SR29,3,400000,1200000,120000.0,1080000.0
T00051,2023-10-27,S13,P015,C3124,SR37,5,550000,2750000,0.0,2750000.0
T00052,2023-11-27,S09,P011,C3432,SR26,3,350000,1050000,105000.0,945000.0
T00053,2023-09-05,S08,P025,C0217,SR23,5,85000,425000,21250.0,403750.0
T00054,2023-04-14,S04,P006,C4986,SR10,4,120000,480000,24000.0,456000.0
T00055,2023-07-11,S02,P002,C0343,SR04,4,400000,1600000,80000.0,1520000.0
T00056,2023-01-23,S06,P019,C4613,SR17,3,280000,840000,84000.0,756000.0
T00057,2023-07-17,S02,P010,C2786,SR04,5,5000,25000,1250.0,23750.0
T00058,2023-05-22,S14,P008,C0179,SR40,5,150000,750000,0.0,750000.0
T00059,2023-06-19,S09,P045,C2611,SR27,5,85000,425000,85000.0,340000.0
T00060,2023-10-06,S13,P025,C4899,SR37,3,85000,255000,25500.0,229500.0
T00061,2023-07-27,S11,P002,C0181,SR33,2,400000,800000,80000.0,720000.0
T00062,2023-04-18,S04,P029,C1999,SR12,4,55000,220000,22000.0,198000.0
T00063,2023-02-13,S03,P008,C0926,SR07,12,150000,1800000,0.0,1800000.0
T00064,2023-10-13,S01,P028,C4244,SR01,1,18000,18000,900.0,17100.0
T00065,2023-07-03,S07,P033,C0086,SR20,3,32000,96000,0.0,96000.0
T00066,2023-01-17,S13,P043,C1410,SR37,15,120000,1800000,90000.0,1710000.0
T00067,2023-11-08,S05,P046,C0820,SR14,4,150000,600000,0.0,600000.0
T00068,2023-09-01,S01,P046,C0127,SR03,3,150000,450000,0.0,450000.0
T00069,2023-10-11,S02,P014,C2430,SR06,2,120000,240000,0.0,240000.0
T00070,2023-05-26,S02,P019,C0340,SR05,1,280000,280000,0.0,280000.0
T00071,2023-06-17,S03,P049,C0317,SR07,4,55000,220000,11000.0,209000.0
T00072,2023-04-17,S02,P049,C3869,SR05,2,55000,110000,5500.0,104500.0
T00073,2023-10-30,S04,P004,C3523,SR10,1,85000,85000,8500.0,76500.0
T00074,2023-05-08,S13,P031,C2284,SR38,1,45000,45000,0.0,45000.0
T00075,2023-08-22,S03,P023,C0272,SR09,2,200000,400000,20000.0,380000.0
T00076,2023-11-13,S09,P010,C1692,SR26,5,5000,25000,0.0,25000.0
T00077,2023-01-23,S02,P005,C0162,SR04,3,200000,600000,30000.0,570000.0
T00078,2023-04-22,S04,P007,C3391,SR12,1,120000,120000,6000.0,114000.0
T00079,2023-07-31,S05,P009,C2067,SR14,4,25000,100000,0.0,100000.0
T00080,2023-04-10,S03,P006,C4477,SR07,2,120000,240000,0.0,240000.0
T00081,2023-09-06,S04,P028,C4788,SR10,4,18000,72000,0.0,72000.0
T00082,2023-03-24,S02,P033,C2406,SR04,1,32000,32000,1600.0,30400.0
T00083,2023-02-09,S07,P017,C3246,SR19,3,220000,660000,0.0,660000.0
T00084,2023-12-12,S05,P022,C1388,SR14,5,150000,750000,37500.0,712500.0
T00085,2023-02-22,S03,P010,C1790,SR08,1,5000,5000,500.0,4500.0
T00086,2023-05-08,S03,P001,C1380,SR07,1,250000,250000,50000.0,200000.0
T00087,2023-04-10,S01,P016,C0368,SR01,2,180000,360000,36000.0,324000.0
T00088,2023-09-20,S01,P004,C4212,SR02,5,85000,425000,0.0,425000.0
T00089,2023-08-08,S01,P002,C1491,SR01,1,400000,400000,20000.0,380000.0
T00090,2023-07-19,S02,P009,C0302,SR04,5,25000,125000,0.0,125000.0
T00091,2023-04-24,S04,P028,C2514,SR10,5,18000,90000,0.0,90000.0
T00092,2023-11-06,S03,P002,C4664,SR09,3,400000,1200000,180000.0,1020000.0
T00093,2023-02-06,S05,P018,C4695,SR14,5,80000,400000,20000.0,380000.0
T00094,2023-05-01,S09,P009,C0079,SR25,2,25000,50000,2500.0,47500.0
T00095,2023-07-11,S04,P010,C1683,SR10,1,5000,5000,0.0,5000.0
T00096,2023-08-16,S09,P006,C4886,SR26,1,120000,120000,6000.0,114000.0
T00097,2023-11-28,S11,P006,C1080,SR31,3,120000,360000,0.0,360000.0
T00098,2023-12-07,S15,P011,C0127,SR45,4,350000,1400000,70000.0,1330000.0
T00099,2023-11-20,S12,P040,C0425,SR34,2,120000,240000,36000.0,204000.0
T00100,2023-03-30,S05,P001,C0619,SR13,4,250000,1000000,0.0,1000000.0
T00101,2023-05-08,S03,P008,C3885,SR09,3,150000,450000,45000.0,405000.0
T00102,2023-07-04,S03,P023,C4692,SR07,5,200000,1000000,100000.0,900000.0
T00103,2023-09-04,S01,P009,C0035,SR02,3,25000,75000,3750.0,71250.0
T00104,2023-03-31,S02,P008,C0462,SR05,5,150000,750000,37500.0,712500.0
T00105,2023-03-13,S13,P008,C3599,SR37,3,150000,450000,22500.0,427500.0
T00106,2023-07-22,S03,P005,C0303,SR08,7,200000,1400000,70000.0,1330000.0
T00107,2023-03-06,S05,P022,C4346,SR13,11,150000,1650000,82500.0,1567500.0
T00108,2023-12-19,S03,P024,C0234,SR07,9,65000,585000,0.0,585000.0
T00109,2023-07-05,S06,P001,C1190,SR18,2,250000,500000,0.0,500000.0
T00110,2023-12-15,S01,P020,C4337,SR01,8,220000,1760000,0.0,1760000.0
T00111,2023-11-27,S03,P030,C3917,SR09,14,22000,308000,46200.0,261800.0
T00112,2023-03-26,S02,P024,C3235,SR05,4,65000,260000,13000.0,247000.0
T00113,2023-02-15,S01,P031,C0032,SR03,2,45000,90000,0.0,90000.0
T00114,2023-07-24,S01,P049,C1231,SR01,1,55000,55000,5500.0,49500.0
T00115,2023-08-02,S07,P002,C0443,SR21,2,400000,800000,80000.0,720000.0
T00116,2023-04-04,S05,P017,C2884,SR13,2,220000,440000,0.0,440000.0
T00117,2023-04-10,S13,P010,C0219,SR38,7,5000,35000,3500.0,31500.0
T00118,2023-05-31,S01,P009,C0693,SR01,5,25000,125000,0.0,125000.0
T00119,2023-02-21,S01,P031,C0330,SR02,5,45000,225000,22500.0,202500.0
T00120,2023-04-19,S05,P001,C2188,SR13,3,250000,750000,112500.0,637500.0
T00121,2023-06-22,S05,P001,C1746,SR14,3,250000,750000,75000.0,675000.0
T00122,2023-12-07,S03,P004,C0362,SR09,3,85000,255000,25500.0,229500.0
T00123,2023-12-25,S11,P009,C2456,SR31,5,25000,125000,0.0,125000.0
T00124,2023-05-08,S03,P032,C0224,SR09,5,38000,190000,9500.0,180500.0
T00125,2023-11-23,S14,P010,C3438,SR41,1,5000,5000,750.0,4250.0
T00126,2023-12-14,S04,P020,C3523,SR12,1,220000,220000,0.0,220000.0
T00127,2023-09-01,S15,P045,C2640,SR45,3,85000,255000,12750.0,242250.0
T00128,2023-09-24,S10,P026,C4219,SR30,1,15000,15000,0.0,15000.0
T00129,2023-10-08,S04,P044,C0040,SR11,5,180000,900000,0.0,900000.0
T00130,2023-12-04,S08,P007,C2648,SR22,2,120000,240000,36000.0,204000.0
T00131,2023-07-17,S02,P012,C3024,SR05,7,200000,1400000,70000.0,1330000.0
T00132,2023-11-21,S08,P027,C4728,SR22,2,25000,50000,7500.0,42500.0
T00133,2023-11-06,S13,P022,C4223,SR39,5,150000,750000,112500.0,637500.0
T00134,2023-05-01,S01,P003,C2480,SR01,5,180000,900000,135000.0,765000.0
T00135,2023-03-01,S05,P040,C3705,SR13,15,120000,1800000,180000.0,1620000.0
T00136,2023-10-30,S05,P035,C3217,SR14,3,150000,450000,45000.0,405000.0
T00137,2023-03-06,S05,P022,C2907,SR15,1,150000,150000,7500.0,142500.0
T00138,2023-03-16,S11,P042,C0310,SR32,4,35000,140000,0.0,140000.0
T00139,2023-12-07,S12,P009,C0409,SR36,5,25000,125000,25000.0,100000.0
T00140,2023-12-28,S05,P044,C2343,SR15,4,180000,720000,0.0,720000.0
T00141,2023-03-20,S11,P041,C0041,SR31,9,22000,198000,19800.0,178200.0
